Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-02-09 15:00,BTCUSD,3619.22,3622.0,3604.01,3606.72,171.92,621004.4
2019-02-09 14:00,BTCUSD,3625.46,3642.11,3612.56,3619.22,398.34,1442520.03
2019-02-09 13:00,BTCUSD,3613.18,3630.32,3613.18,3625.46,142.35,515529.9
2019-02-09 12:00,BTCUSD,3624.98,3626.05,3606.0,3613.18,173.65,628151.11
2019-02-09 11:00,BTCUSD,3625.52,3628.53,3622.11,3624.98,70.69,256186.78
2019-02-09 10:00,BTCUSD,3624.31,3634.0,3623.97,3625.52,86.31,313242.47
2019-02-09 09:00,BTCUSD,3622.82,3629.98,3614.74,3624.31,88.28,319905.89
2019-02-09 08:00,BTCUSD,3621.98,3636.0,3616.25,3622.82,411.29,1491814.31
2019-02-09 07:00,BTCUSD,3610.51,3625.0,3609.18,3621.98,260.37,941902.73
2019-02-09 06:00,BTCUSD,3610.0,3612.92,3608.03,3610.51,95.58,345110.9
2019-02-09 05:00,BTCUSD,3614.44,3614.44,3608.72,3610.0,99.36,358853.06
2019-02-09 04:00,BTCUSD,3609.01,3616.75,3605.7,3614.44,169.59,612660.28
2019-02-09 03:00,BTCUSD,3612.16,3614.54,3603.25,3609.01,196.55,709430.53
2019-02-09 02:00,BTCUSD,3613.0,3616.24,3603.02,3612.16,231.09,834336.43
2019-02-09 01:00,BTCUSD,3620.0,3620.0,3610.0,3613.0,193.47,699363.38
2019-02-09 00:00,BTCUSD,3622.0,3629.99,3609.39,3620.0,525.26,1901048.08
2019-02-08 23:00,BTCUSD,3593.8,3626.0,3592.28,3622.0,509.8,1839870.88
2019-02-08 22:00,BTCUSD,3594.62,3603.64,3592.2,3593.8,323.25,1162941.79
2019-02-08 21:00,BTCUSD,3624.96,3626.79,3575.2,3594.62,1011.7,3646456.57
2019-02-08 20:00,BTCUSD,3634.99,3635.0,3622.69,3624.96,425.3,1543528.06
2019-02-08 19:00,BTCUSD,3623.37,3635.0,3620.44,3634.99,524.11,1901465.4
2019-02-08 18:00,BTCUSD,3632.49,3640.0,3617.03,3623.37,991.44,3595443.67
2019-02-08 17:00,BTCUSD,3664.19,3666.69,3610.8,3632.49,2507.61,9125019.13
2019-02-08 16:00,BTCUSD,3451.57,3711.0,3440.35,3664.19,3014.73,10698586.42
2019-02-08 15:00,BTCUSD,3412.29,3454.07,3410.89,3451.57,1365.76,4690514.17
2019-02-08 14:00,BTCUSD,3400.0,3418.78,3399.99,3412.29,602.96,2055752.93
2019-02-08 13:00,BTCUSD,3394.99,3402.86,3394.28,3400.0,358.16,1216602.28
2019-02-08 12:00,BTCUSD,3393.15,3406.53,3391.0,3394.99,480.55,1632277.98
2019-02-08 11:00,BTCUSD,3387.25,3397.41,3387.24,3393.15,225.22,764025.13
2019-02-08 10:00,BTCUSD,3383.0,3391.7,3382.84,3387.25,215.44,729738.1
2019-02-08 09:00,BTCUSD,3366.01,3398.19,3366.01,3383.0,683.07,2314191.59
2019-02-08 08:00,BTCUSD,3356.21,3378.8,3356.21,3366.01,372.41,1254856.51
2019-02-08 07:00,BTCUSD,3366.95,3366.96,3354.37,3356.21,524.65,1762419.13
2019-02-08 06:00,BTCUSD,3366.27,3367.49,3364.7,3366.95,102.55,345153.17
2019-02-08 05:00,BTCUSD,3359.15,3367.32,3359.14,3366.27,240.79,810122.68
2019-02-08 04:00,BTCUSD,3361.61,3362.0,3357.65,3359.15,170.21,571880.12
2019-02-08 03:00,BTCUSD,3354.98,3362.0,3354.98,3361.61,262.06,880095.17
2019-02-08 02:00,BTCUSD,3356.75,3359.38,3344.0,3354.98,366.88,1230390.42
2019-02-08 01:00,BTCUSD,3358.52,3359.33,3356.74,3356.75,220.73,741181.48
2019-02-08 00:00,BTCUSD,3359.0,3359.43,3357.0,3358.52,217.59,730766.39
2019-02-07 23:00,BTCUSD,3363.69,3363.69,3355.99,3359.0,274.57,922593.88
2019-02-07 22:00,BTCUSD,3359.27,3363.69,3357.61,3363.69,256.89,863499.29
2019-02-07 21:00,BTCUSD,3358.79,3362.78,3357.1,3359.27,350.81,1178715.88
2019-02-07 20:00,BTCUSD,3358.29,3359.0,3352.01,3358.79,369.17,1238900.06
2019-02-07 19:00,BTCUSD,3360.01,3360.99,3355.5,3358.29,269.67,905790.32
2019-02-07 18:00,BTCUSD,3360.37,3362.99,3359.0,3360.01,210.53,707628.89
2019-02-07 17:00,BTCUSD,3362.2,3363.93,3354.61,3360.37,527.71,1772818.54
2019-02-07 16:00,BTCUSD,3364.42,3366.0,3361.76,3362.2,816.34,2746452.55
2019-02-07 15:00,BTCUSD,3365.09,3366.0,3361.12,3364.42,1048.25,3526167.09
2019-02-07 14:00,BTCUSD,3364.01,3366.87,3361.52,3365.09,628.5,2114036.18
2019-02-07 13:00,BTCUSD,3362.78,3370.33,3361.56,3364.01,454.21,1529230.98
2019-02-07 12:00,BTCUSD,3368.72,3369.86,3360.0,3362.78,418.54,1408480.1
2019-02-07 11:00,BTCUSD,3379.33,3380.32,3368.64,3368.72,427.83,1443870.83
2019-02-07 10:00,BTCUSD,3374.15,3383.14,3374.14,3379.33,292.59,988520.87
2019-02-07 09:00,BTCUSD,3373.17,3376.37,3371.85,3374.15,128.43,433382.13
2019-02-07 08:00,BTCUSD,3370.08,3373.18,3369.4,3373.17,146.79,494790.28
2019-02-07 07:00,BTCUSD,3371.12,3373.88,3368.94,3370.08,185.62,625757.17
2019-02-07 06:00,BTCUSD,3371.44,3373.77,3368.96,3371.12,200.82,677131.62
2019-02-07 05:00,BTCUSD,3371.08,3372.44,3368.56,3371.44,281.39,948435.5
2019-02-07 04:00,BTCUSD,3373.5,3375.0,3370.16,3371.08,193.43,652562.0
2019-02-07 03:00,BTCUSD,3369.29,3373.5,3369.28,3373.5,187.27,631212.19
2019-02-07 02:00,BTCUSD,3369.83,3369.86,3368.0,3369.29,158.92,535442.45
2019-02-07 01:00,BTCUSD,3364.7,3371.0,3364.69,3369.83,233.0,784854.97
2019-02-07 00:00,BTCUSD,3367.36,3367.36,3362.5,3364.7,231.07,777338.38
2019-02-06 23:00,BTCUSD,3370.19,3373.0,3363.86,3367.36,286.98,966705.59
2019-02-06 22:00,BTCUSD,3366.14,3372.46,3365.0,3370.19,216.65,729751.02
2019-02-06 21:00,BTCUSD,3362.99,3368.1,3359.54,3366.14,253.83,853731.26
2019-02-06 20:00,BTCUSD,3363.3,3368.83,3359.79,3362.99,274.62,923563.12
2019-02-06 19:00,BTCUSD,3369.06,3369.06,3358.53,3363.3,302.79,1018793.74
2019-02-06 18:00,BTCUSD,3364.81,3371.4,3350.02,3369.06,399.51,1342835.31
2019-02-06 17:00,BTCUSD,3370.55,3371.2,3360.0,3364.81,341.33,1148800.58
2019-02-06 16:00,BTCUSD,3372.62,3386.5,3368.49,3370.55,761.58,2570382.02
2019-02-06 15:00,BTCUSD,3362.45,3372.62,3340.8,3372.62,767.89,2579336.79
2019-02-06 14:00,BTCUSD,3366.0,3367.89,3361.0,3362.45,325.82,1095999.74
2019-02-06 13:00,BTCUSD,3368.5,3368.5,3360.98,3366.0,215.27,724495.53
2019-02-06 12:00,BTCUSD,3362.96,3370.0,3357.97,3368.5,210.41,708309.15
2019-02-06 11:00,BTCUSD,3368.59,3368.73,3360.65,3362.96,179.08,602701.38
2019-02-06 10:00,BTCUSD,3369.67,3370.72,3360.12,3368.59,194.07,653296.16
2019-02-06 09:00,BTCUSD,3370.01,3372.51,3367.0,3369.67,141.4,476529.35
2019-02-06 08:00,BTCUSD,3379.27,3379.27,3370.0,3370.01,164.38,554609.22
2019-02-06 07:00,BTCUSD,3375.29,3379.29,3375.29,3379.27,123.84,418198.63
2019-02-06 06:00,BTCUSD,3372.06,3376.8,3371.56,3375.29,105.9,357287.24
2019-02-06 05:00,BTCUSD,3370.34,3373.67,3370.33,3372.06,151.12,509585.45
2019-02-06 04:00,BTCUSD,3376.25,3376.54,3365.5,3370.34,296.63,999687.74
2019-02-06 03:00,BTCUSD,3375.0,3380.0,3372.98,3376.25,194.82,657930.77
2019-02-06 02:00,BTCUSD,3381.01,3381.01,3373.13,3375.0,468.83,1582889.75
2019-02-06 01:00,BTCUSD,3417.51,3420.0,3351.0,3381.01,1895.79,6412825.28
2019-02-06 00:00,BTCUSD,3428.4,3441.0,3415.0,3417.51,624.84,2139535.1
2019-02-05 23:00,BTCUSD,3423.16,3428.41,3423.0,3428.4,338.88,1160877.14
2019-02-05 22:00,BTCUSD,3422.8,3425.0,3422.01,3423.16,239.28,819192.88
2019-02-05 21:00,BTCUSD,3424.42,3425.03,3422.01,3422.8,282.11,965947.86
2019-02-05 20:00,BTCUSD,3423.49,3426.26,3422.16,3424.42,270.36,925817.76
2019-02-05 19:00,BTCUSD,3420.69,3424.99,3418.0,3423.49,258.21,883575.32
2019-02-05 18:00,BTCUSD,3419.1,3426.0,3418.85,3420.69,437.12,1496003.59
2019-02-05 17:00,BTCUSD,3418.35,3420.5,3416.89,3419.1,223.99,765887.57
2019-02-05 16:00,BTCUSD,3419.85,3419.92,3415.06,3418.35,250.33,855386.9
2019-02-05 15:00,BTCUSD,3418.02,3419.99,3412.91,3419.85,380.83,1301390.35
2019-02-05 14:00,BTCUSD,3422.61,3425.41,3418.01,3418.02,235.79,806619.52
2019-02-05 13:00,BTCUSD,3420.53,3424.0,3419.5,3422.61,201.3,688724.17
2019-02-05 12:00,BTCUSD,3421.11,3422.0,3418.19,3420.53,187.02,639672.49
2019-02-05 11:00,BTCUSD,3426.86,3426.86,3419.4,3421.11,105.27,360230.24
2019-02-05 10:00,BTCUSD,3428.0,3428.0,3421.85,3426.86,126.59,433574.01
2019-02-05 09:00,BTCUSD,3414.52,3429.46,3414.51,3428.0,195.86,670178.61
2019-02-05 08:00,BTCUSD,3416.16,3416.16,3414.39,3414.52,82.87,283064.38
2019-02-05 07:00,BTCUSD,3416.89,3417.0,3413.21,3416.16,116.3,397290.69
2019-02-05 06:00,BTCUSD,3416.01,3419.0,3415.1,3416.89,128.17,437982.31
2019-02-05 05:00,BTCUSD,3414.53,3418.78,3411.36,3416.01,231.32,790106.51
2019-02-05 04:00,BTCUSD,3413.71,3417.76,3411.38,3414.53,283.92,969375.1
2019-02-05 03:00,BTCUSD,3411.0,3413.98,3409.13,3413.71,273.08,931624.34
2019-02-05 02:00,BTCUSD,3402.01,3417.53,3400.0,3411.0,461.79,1574412.11
2019-02-05 01:00,BTCUSD,3410.1,3413.07,3402.0,3402.01,390.1,1329478.63
2019-02-05 00:00,BTCUSD,3409.57,3410.55,3404.0,3410.1,292.97,998158.42
2019-02-04 23:00,BTCUSD,3408.61,3414.04,3406.54,3409.57,382.74,1305029.18
2019-02-04 22:00,BTCUSD,3418.71,3418.71,3405.2,3408.61,291.69,994845.33
2019-02-04 21:00,BTCUSD,3414.51,3421.44,3414.5,3418.71,336.05,1148421.12
2019-02-04 20:00,BTCUSD,3418.31,3422.0,3414.23,3414.51,274.66,938839.4
2019-02-04 19:00,BTCUSD,3418.29,3421.41,3414.01,3418.31,454.55,1553220.22
2019-02-04 18:00,BTCUSD,3415.02,3422.0,3414.75,3418.29,426.21,1456673.9
2019-02-04 17:00,BTCUSD,3411.34,3416.44,3410.5,3415.02,330.08,1126303.84
2019-02-04 16:00,BTCUSD,3411.4,3416.59,3410.95,3411.34,398.07,1358756.15
2019-02-04 15:00,BTCUSD,3405.8,3412.5,3405.01,3411.4,347.42,1184367.63
2019-02-04 14:00,BTCUSD,3408.42,3413.3,3405.0,3405.8,199.82,681283.7
2019-02-04 13:00,BTCUSD,3405.02,3408.74,3403.4,3408.42,194.78,663508.93
2019-02-04 12:00,BTCUSD,3399.12,3407.73,3395.1,3405.02,242.04,823534.94
2019-02-04 11:00,BTCUSD,3408.24,3409.14,3398.29,3399.12,215.38,733367.54
2019-02-04 10:00,BTCUSD,3405.08,3411.69,3403.17,3408.24,152.92,521112.52
2019-02-04 09:00,BTCUSD,3420.72,3424.01,3404.3,3405.08,244.27,834286.74
2019-02-04 08:00,BTCUSD,3421.31,3435.0,3419.42,3420.72,179.63,615579.6
2019-02-04 07:00,BTCUSD,3417.79,3423.0,3416.0,3421.31,71.12,243168.53
2019-02-04 06:00,BTCUSD,3416.0,3421.0,3415.99,3417.79,106.6,364420.43
2019-02-04 05:00,BTCUSD,3416.02,3417.42,3413.0,3416.0,145.87,498093.55
2019-02-04 04:00,BTCUSD,3413.8,3420.0,3412.75,3416.02,158.2,540697.77
2019-02-04 03:00,BTCUSD,3412.09,3416.55,3411.62,3413.8,123.27,420812.79
2019-02-04 02:00,BTCUSD,3422.42,3423.26,3411.3,3412.09,152.53,521261.69
2019-02-04 01:00,BTCUSD,3420.01,3424.64,3416.37,3422.42,174.92,598277.73
2019-02-04 00:00,BTCUSD,3414.78,3427.21,3412.68,3420.01,124.4,425637.15
2019-02-03 23:00,BTCUSD,3407.54,3419.89,3400.74,3414.78,385.94,1316783.37
2019-02-03 22:00,BTCUSD,3395.23,3407.6,3394.56,3407.54,334.01,1135269.01
2019-02-03 21:00,BTCUSD,3405.0,3405.0,3386.45,3395.23,296.73,1007947.02
2019-02-03 20:00,BTCUSD,3404.0,3405.0,3395.0,3405.0,210.34,715485.93
2019-02-03 19:00,BTCUSD,3422.0,3430.0,3390.01,3404.0,384.83,1312477.33
2019-02-03 18:00,BTCUSD,3419.99,3424.0,3418.02,3422.0,215.74,737939.35
2019-02-03 17:00,BTCUSD,3426.91,3427.12,3417.6,3419.99,207.05,708834.04
2019-02-03 16:00,BTCUSD,3421.71,3428.35,3419.51,3426.91,164.82,564206.36
2019-02-03 15:00,BTCUSD,3421.43,3425.49,3411.59,3421.71,139.51,477074.69
2019-02-03 14:00,BTCUSD,3428.12,3428.12,3421.0,3421.43,155.9,534087.1
2019-02-03 13:00,BTCUSD,3425.1,3431.27,3425.1,3428.12,91.89,315023.73
2019-02-03 12:00,BTCUSD,3421.69,3425.85,3416.79,3425.1,58.48,200094.78
2019-02-03 11:00,BTCUSD,3427.59,3428.15,3417.89,3421.69,29.86,102243.0
2019-02-03 10:00,BTCUSD,3416.73,3429.29,3414.43,3427.59,120.19,411365.33
2019-02-03 09:00,BTCUSD,3422.57,3422.72,3414.87,3416.73,106.08,362566.53
2019-02-03 08:00,BTCUSD,3425.76,3425.77,3411.01,3422.57,83.39,285208.21
2019-02-03 07:00,BTCUSD,3434.22,3434.68,3425.72,3425.76,98.26,336948.33
2019-02-03 06:00,BTCUSD,3444.29,3445.0,3433.62,3434.22,209.34,720080.93
2019-02-03 05:00,BTCUSD,3442.01,3444.29,3440.2,3444.29,95.86,329942.48
2019-02-03 04:00,BTCUSD,3444.76,3447.2,3439.0,3442.01,151.72,522708.89
2019-02-03 03:00,BTCUSD,3445.7,3446.69,3440.44,3444.76,135.43,466405.03
2019-02-03 02:00,BTCUSD,3448.8,3453.68,3444.0,3445.7,212.11,732003.49
2019-02-03 01:00,BTCUSD,3457.95,3458.9,3445.8,3448.8,208.69,720085.97
2019-02-03 00:00,BTCUSD,3468.43,3471.76,3454.47,3457.95,245.44,849537.46
2019-02-02 23:00,BTCUSD,3435.34,3483.24,3433.0,3468.43,505.1,1748966.25
2019-02-02 22:00,BTCUSD,3433.17,3443.0,3431.51,3435.34,187.57,644373.42
2019-02-02 21:00,BTCUSD,3433.37,3436.76,3430.93,3433.17,137.44,472048.5
2019-02-02 20:00,BTCUSD,3435.02,3438.88,3433.0,3433.37,173.44,595956.73
2019-02-02 19:00,BTCUSD,3434.92,3439.99,3432.7,3435.02,265.75,913159.1
2019-02-02 18:00,BTCUSD,3432.23,3434.94,3427.01,3434.92,182.86,627454.85
2019-02-02 17:00,BTCUSD,3430.0,3434.03,3425.85,3432.23,178.8,612970.55
